[95, 'left']
[138, 'right']
[174, 'left']
[210, 'right']
[250, 'left']
[280, 'right']
[327, 'left']
[360, 'right']
[400, 'left']
[438, 'right']
[478, 'left']
[509, 'right']
[550, 'left']
[589, 'right']
[627, 'left']
[668, 'right']
[703, 'left']
[742, 'right']
[783, 'left']
[816, 'right']
[852, 'left']
[890, 'right']
[920, 'left']
[965, 'right']
[1001, 'left']
[1038, 'right']
[1075, 'left']
[1108, 'right']
[1148, 'left']
[1184, 'right']
[1224, 'left']
[1262, 'right']
[1300, 'left']
[1336, 'right']
[1337, 'end']
